#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:16:15       0    299     86      -     93     37      0      0      0      0  13365   2047  76996      8      0 
 14:16:17       0    277     86      -     94     36      0      0      0      0  13365   2047  76996      8      0 
 14:16:19       0    300     86      -     94     35      0      0      0      0  13365   2055  76996      8      0 
 14:16:21       0    299     86      -     82     40      0      0      0      0  13365   1942  76996      8      0 
 14:16:23       0    299     86      -     94     44      0      0      0      0  13365   2025  76996      8      0 
 14:16:25       0    300     86      -     95     43      0      0      0      0  13365   2025  76996      8      0 
 14:16:27       0    299     86      -     94     35      0      0      0      0  13365   2025  76996      8      0 
 14:16:29       0    301     86      -     94     35      0      0      0      0  13365   2047  76996      8      0 
 14:16:31       0    266     82      -     91     47      0      0      0      0  13365   2055  76996      8      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:16:33       0    299     86      -     93     36      0      0      0      0  13365   2092  76996      8      0 
 14:16:35       0    299     86      -     93     35      0      0      0      0  13365   2055  76996      8      0 
 14:16:37       0    299     86      -     74     38      0      0      0      0  13365   1965  76996      8      0 
 14:16:39       0    300     86      -     83     33      0      0      0      0  13365   1912  76996      8      0 
 14:16:41       0    299     86      -     93     44      0      0      0      0  13365   2017  76996      8      0 
 14:16:43       0    299     86      -     95     43      0      0      0      0  13365   2017  76996      8      0 
 14:16:45       0    300     86      -     95     38      0      0      0      0  13365   2010  76996      8      0 
 14:16:47       0    267     86      -     94     36      0      0      0      0  13365   2032  76996      8      0 
 14:16:49       0    300     86      -     93     36      0      0      0      0  13365   2055  76996      8      0 
 14:16:51       0    299     86      -     94     35      0      0      0      0  13365   2017  76996      8      0 
 14:16:53       0    297     85      -     83     32      0      0      0      0  13365   2025  76996      8      0 
 14:16:55       0    298     86      -     74     32      0      0      0      0  13365   2025  76996      8      0 
 14:16:57       0    300     85      -     94     44      0      0      0      0  13365   2040  76996      8      0 
 14:16:59       0    300     86      -     95     43      0      0      0      0  13365   2062  76996      8      0 
 14:17:01       0    277     83      -      0      0      0      0      0      0  13365   2025  76996      8      0 
 14:17:03       0    300     86      -     91     47      0      0      0      0  13365   1965  76996      8      0 
 14:17:05       0    299     86      -     94     36      0      0      0      0  13365   2025  76996      8      0 
 14:17:07       0    299     86      -     94     36      0      0      0      0  13365   2017  76996      8      0 
 14:17:09       0    299     86      -     93     36      0      0      0      0  13365   2032  76996      8      0 
 14:17:11       0    300     86      -     94     35      0      0      0      0  13365   2032  76996      8      0 
 14:17:13       0    299     87      -     87     32      0      0      0      0  13365   2032  76996      8      0 
 14:17:15       0    298     86      -     83     34      0      0      0      0  13365   2010  76996      8      0 
 14:17:17       0    266     86      -     76     33      0      0      0      0  13365   2025  76996      8      0 
 14:17:19       0    300     87      -     94     44      0      0      0      0  13365   2047  76996      8      0 
 14:17:21       0    299     86      -     94     44      0      0      0      0  13365   2032  76996      8      0 
 14:17:23       0    299     87      -     93     36      0      0      0      0  13365   1950  76996      8      0 
 14:17:25       0    299     87      -     93     36      0      0      0      0  13365   1950  76996      8      0 
 14:17:27       0    300     86      -     93     35      0      0      0      0  13365   1957  76996      8      0 
 14:17:29       0    299     87      -     93     37      0      0      0      0  13365   1965  76996      8      0 
 14:17:31       0    300     87      -     94     35      0      0      0      0  13365   1957  76996      8      0 
 14:17:33       0    306     87      -     94     35      0      0      0      0  13365   1972  76996      8      0 
 14:17:35       0    299     87      -     94     35      0      0      0      0  13365   1957  76996      8      0 
 14:17:37       0    299     87      -     93     36      0      0      0      0  13365   1950  76996      8      0 
 14:17:39       0    300     87      -     93     36      0      0      0      0  13365   1950  76996      8      0 
 14:17:41       0    299     87      -     93     36      0      0      0      0  13365   1935  76996      8      0 
 14:17:43       0    299     87      -     93     36      0      0      0      0  13365   1935  76996      8      0 
 14:17:45       0    300     87      -     93     35      0      0      0      0  13365   1950  76996      8      0 
 14:17:47       0    299     87      -     93     36      0      0      0      0  13365   1942  76996      8      0 
 14:17:49       0    304     86      -     94     42      0      0      0      0  13365   2032  76996      8      0 
 14:17:51       0    300     86      -     91     47      0      0      0      0  13365   2032  76996      8      0 
 14:17:53       0    299     87      -     93     36      0      0      0      0  13365   1957  76996      8      0 
 14:17:55       0    299     86      -     93     35      0      0      0      0  13365   1965  76996      8      0 
 14:17:57       0    299     87      -     94     35      0      0      0      0  13365   1972  76996      8      0 
 14:17:59       0    299     87      -     93     36      0      0      0      0  13365   1980  76996      8      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:18:01       0    300     86      -     91     47      0      0      0      0  13365   1935  76996      8      0 
 14:18:03       0    300     87      -     92     39      0      0      0      0  13365   1942  76996      8      0 
 14:18:05       0    299     87      -     94     36      0      0      0      0  13365   2017  76996      8      0 
 14:18:07       0    300     87      -     93     35      0      0      0      0  13365   2025  76996      8      0 
 14:18:09       0    300     87      -     93     35      0      0      0      0  13365   2025  76996      8      0 
 14:18:11       0    299     87      -     84     32      0      0      0      0  13365   2017  76996      8      0 
 14:18:13       0    299     86      -     93     48      0      0      0      0  13365   2070  76996      8      0 
